GENE	he%sample1	he%sample2	he%sample3	ht%sample1	ht%sample2	ht%sample3	hy%sample1	hy%sample2	hy%sample3
HE_FRAG21698.1422-4683|SPU_018809	486	267	267	984	1081	372	280	354	363
HE_COMP242449_C0_SEQ1.389-497|UNKNOWN	4	3	3	7	5	3	7	2	4
HE_FRAG7262.2-1728|SPU_019701	223	322	322	82	311	93	173	199	286
HE_COMP229236_C0_SEQ1.162-435|SPU_005055	0	1	1	1	2	0	0	1	1
HE_COMP246564_C1_SEQ3.0-1812|SPU_010488	347	319	319	325	1004	548	529	242	327
HE_FRAG13924.160-2322|SPU_017583	669	553	553	1922	705	249	240	679	862
HE_COMP232655_C8_SEQ7.42-87|UNKNOWN	2	2	2	0	4	2	4	0	1
HE_CONTIG4061|SPU_014140	1443	3401	3401	2701	4286	1975	3740	1841	3537
HE_COMP241780_C1_SEQ5.0-60|UNKNOWN	6	0	0	0	2	1	4	0	7
HE_FRAG16042.0-1950|SPU_019287	1145	1344	1344	345	614	278	729	528	524
HE_CONTIG1907|SPU_004916	3	3	3	2	2	0	4	1	0
HE_COMP233789_C2_SEQ1.2-53|UNKNOWN	152	101	101	52	61	38	123	52	121
HE_FRAG574.1-1472|SPU_026418	4286	1772	1772	3505	5642	5415	2337	961	688
HE_COMP246691_C1_SEQ1.138-972|SPU_020797	109	130	130	133	245	44	348	48	140
HE_COMP243385_C1_SEQ2.1410-1724|SPU_004423	17	33	33	93	99	8	24	30	5
HE_COMP237064_C10_SEQ3.72-114|UNKNOWN	2	7	7	12	11	8	5	5	7
HE_COMP240397_C4_SEQ3.0-531|SPU_028130	134	704	704	1545	1172	631	490	191	1125
HE_COMP239343_C0_SEQ1.5-44|UNKNOWN	15	18	18	25	20	24	22	16	21
HE_CONTIG5253|SPU_009990	9	0	0	1	9	1	6	34	3
HE_CONTIG3081|SPU_018320	15	9	9	37	90	8	51	4	8
HE_CONTIG1891|SPU_007127	141	68	68	191	209	389	220	210	94
HE_CONTIG2000|SPU_012262	1905	1289	1289	4177	4573	5438	3843	3173	3969
HE_FRAG5896.1137-1374|SPU_014287	5	7	7	2	3	6	14	39	10
HE_FRAG5473.24-837|SPU_014260	917	89	89	80	139	38	194	827	281
HE_COMP244785_C1_SEQ4.0-993|SPU_027174	135	98	98	103	228	128	203	99	101
HE_CONTIG4207|SPU_026708	198	85	85	87	216	136	164	72	178
