GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_FRAG16042.0-1950|SPU_019287	200	54	85	1	0	1	35	20
HE_CONTIG1907|SPU_004916	0	0	0	0	0	0	3	0
HE_COMP233789_C2_SEQ1.2-53|UNKNOWN	45	16	0	2	0	0	15	39
HE_FRAG574.1-1472|SPU_026418	1214	16	1134	3	125	0	224	3
HE_COMP246691_C1_SEQ1.138-972|SPU_020797	30	7	37	3	8	0	6	0
HE_COMP243385_C1_SEQ2.1410-1724|SPU_004423	8	0	4	0	1	0	5	0
HE_COMP237064_C10_SEQ3.72-114|UNKNOWN	0	0	0	0	0	0	2	0
HE_COMP240397_C4_SEQ3.0-531|SPU_028130	256	0	222	45	13	2	43	0
HE_COMP239343_C0_SEQ1.5-44|UNKNOWN	3	2	11	0	3	0	2	1
HE_CONTIG5253|SPU_009990	0	0	0	0	0	0	3	0
HE_CONTIG3081|SPU_018320	0	0	0	0	0	0	14	0
HE_CONTIG1891|SPU_007127	274	11	64	1	35	0	29	5
HE_CONTIG2000|SPU_012262	1014	32	2072	169	45	0	263	98
HE_FRAG5896.1137-1374|SPU_014287	0	0	0	0	0	0	2	0
HE_FRAG5473.24-837|SPU_014260	125	19	51	0	0	0	26	0
HE_COMP244785_C1_SEQ4.0-993|SPU_027174	26	1	36	0	4	6	13	0
HE_CONTIG4207|SPU_026708	45	2	50	6	0	0	5	6
HE_FRAG316.178-226|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG5793.72-1272|SPU_014460	199	16	120	0	0	0	70	6
HE_FRAG6624.2-1680|SPU_023952	79	2	59	0	0	0	4	0
HE_CONTIG1866|SPU_009879	1	0	3	0	1	0	0	0
HE_FRAG14673.62-599|SPU_006174	73	0	25	0	4	0	10	2
HE_CONTIG1118|SPU_023355	83	18	127	10	3	0	37	24
HE_COMP242580_C3_SEQ1.0-288|SPU_026362	18	0	20	0	0	0	0	0
HE_COMP239160_C4_SEQ1.0-1776|SPU_009647	213	18	444	14	16	0	62	1
HE_CONTIG5012|SPU_012342	23	0	0	0	0	0	12	0
HE_COMP239002_C2_SEQ1.0-2823|SPU_008966	720	23	687	37	34	0	85	17
HE_CONTIG2358|SPU_021991	49	0	162	31	1	2	9	14
HE_COMP240801_C1_SEQ1.60-1803|SPU_015902	440	107	728	125	0	0	322	74
HE_COMP236522_C3_SEQ10.118-160|UNKNOWN	0	1	0	2	4	4	1	6
HE_COMP231113_C0_SEQ1.39-1539|SPU_020012	62	19	66	1	1	0	27	3
HE_FRAG7276.240-3306|SPU_001785	2200	680	1961	114	7	2	414	211
HE_CONTIG2105|SPU_017120	0	0	0	0	0	0	6	0
HE_FRAG1204.10-58|UNKNOWN	0	0	0	0	0	0	1	0
HE_CONTIG2705|UNKNOWN	3	0	1	0	0	0	2	4
HE_COMP232533_C0_SEQ1.309-780|SPU_028302	18	1	18	0	2	0	2	1
HE_CONTIG3100|SPU_017709	6	4	35	5	2	3	68	57
HE_CONTIG2670|SPU_007267	36	1	7	0	0	0	1	2
HE_CONTIG4248|SPU_015084	12	0	7	0	0	0	1	0
HE_FRAG16037.2094-3536|SPU_019287	139	53	59	4	0	0	21	27
HE_FRAG13798.0-984|SPU_011658	187	14	111	12	7	6	15	0
HE_FRAG1868.78-2525|SPU_007386	1142	506	1009	50	73	5	229	108
HE_FRAG7023.19-1233|SPU_018702	941	75	514	1	1	0	39	12
HE_FRAG21999.0-7617|SPU_028833	260	24	286	28	8	0	131	35
HE_CONTIG2680|UNKNOWN	0	0	0	0	0	0	1	0
HE_FRAG23230.0-1472|SPU_014424	36	15	31	1	1	0	45	4
HE_CONTIG1781|SPU_017029	59	20	102	13	6	0	51	6
HE_COMP232859_C6_SEQ1.0-1329|SPU_008239	97	19	54	0	0	0	27	4
HE_FRAG16370.3-711|SPU_018090	91	58	75	29	0	0	54	81
HE_COMP233676_C3_SEQ2.98-1568|SPU_018372	26	0	549	9	3	0	20	5
HE_FRAG259.1415-1700|UNKNOWN	0	0	0	0	0	0	10	0
HE_FRAG4895.216-1263|SPU_024723	6	0	21	0	0	0	10	0
HE_COMP229741_C0_SEQ2.0-2211|SPU_022450	129	0	73	2	1	0	13	0
HE_FRAG9574.261-2436|SPU_016327	226	9	251	14	9	1	64	18
HE_FRAG10995.1818-1941|SPU_017911	0	0	0	0	0	0	0	0
HE_COMP230358_C1_SEQ3.63-249|UNKNOWN	0	0	0	0	0	0	7	0
HE_FRAG17700.2-4004|SPU_018720	67	15	88	8	1	1	44	9
HE_COMP243031_C6_SEQ3.44-107|UNKNOWN	0	0	0	0	0	0	0	0
HE_CONTIG3045|UNKNOWN	1	24	16	1	0	1	6	12
HE_CONTIG4514|SPU_016903	83	15	50	2	0	0	21	17
HE_FRAG11691.0-1227|UNKNOWN	24	0	50	0	0	0	8	0
HE_CONTIG2050|SPU_015574	8	0	1	0	0	0	6	2
HE_COMP237738_C0_SEQ1.0-1146|SPU_006308	322	90	436	21	30	0	76	9
HE_CONTIG4433|SPU_016842	33	0	13	1	1	0	2	0
HE_FRAG5580.0-5574|SPU_028726	356	11	330	2	21	0	33	8
HE_CONTIG605|SPU_026766	53	0	72	1	6	0	6	3
HE_CONTIG3145|SPU_024592	9	0	3	0	0	0	64	3
HE_COMP237427_C7_SEQ1.198-429|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG8110.159-339|SPU_012492	0	0	0	0	0	0	2	0
HE_CONTIG407|UNKNOWN	0	0	0	2	0	0	0	219
HE_COMP241849_C0_SEQ2.74-116|UNKNOWN	0	0	0	0	0	0	3	0
HE_COMP197588_C0_SEQ1.3-162|SPU_011645	0	0	0	0	0	0	0	0
HE_FRAG22354.708-972|SPU_025759	0	3	4	0	0	0	5	12
HE_FRAG21789.450-2646|SPU_025763	5	0	0	0	3	0	18	0
HE_COMP241292_C1_SEQ1.0-298|SPU_015804	40	0	15	0	0	0	4	0
HE_FRAG18075.0-1791|SPU_020578	34	1	60	2	12	0	5	0
HE_FRAG820.117-255|SPU_019284	0	0	0	0	0	0	2	0
HE_CONTIG4434|SPU_024918	0	0	0	0	0	0	1	0
HE_CONTIG3669|SPU_015376	36	8	98	12	0	0	17	1
HE_COMP228979_C1_SEQ6.81-237|SPU_020272	0	0	0	0	0	0	0	0
HE_COMP234891_C5_SEQ1.200-342|SPU_017723	20	0	45	0	2	0	1	0
HE_FRAG6539.0-3570|SPU_021559	254	4	202	0	5	0	15	0
HE_COMP215986_C0_SEQ1.0-168|SPU_013237	0	0	0	0	0	0	0	0
HE_CONTIG1319|SPU_026337	373	55	506	1	12	0	62	0
HE_COMP228506_C0_SEQ1.76-119|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP209988_C0_SEQ1.78-540|SPU_025331	25	0	39	0	1	0	17	1
HE_CONTIG2941|SPU_023386	1418	75	1347	24	196	0	347	4
HE_FRAG9423.50-314|SPU_002802	4	0	1	1	1	1	5	0
HE_FRAG13811.659-2738|SPU_000324	0	0	0	0	3	0	22	1
HE_FRAG4783.0-2367|SPU_011065	404	62	144	0	0	0	38	23
HE_CONTIG3783|SPU_000635	0	0	0	0	0	0	30	0
HE_FRAG15198.0-2124|SPU_005988	17	0	19	0	3	0	38	3
HE_COMP245612_C2_SEQ1.1-719|SPU_001690	160	9	121	0	67	12	31	1
HE_CONTIG5209|SPU_017029	63	9	108	11	18	11	14	0
HE_COMP239356_C1_SEQ2.0-1154|SPU_009455	202	9	74	0	137	3	73	6
HE_FRAG5175.621-879|SPU_008355	0	0	0	0	0	0	19	0
HE_FRAG18746.0-834|SPU_003139	85	18	13	0	11	1	29	3
HE_CONTIG4393|SPU_024463	13	3	3	2	0	0	3	42
HE_FRAG5653.89-1571|SPU_007945	727	46	390	6	11	0	62	10
HE_CONTIG5007|UNKNOWN	0	0	0	0	0	0	0	0
HE_CONTIG4008|SPU_009335	570	34	377	27	146	0	115	26
HE_CONTIG1626|SPU_013326	448	88	990	30	0	0	108	7
HE_FRAG623.0-1536|SPU_009771	1327	187	389	0	49	0	79	7
HE_CONTIG1650|UNKNOWN	257	288	18	25	0	0	263	1366
HE_FRAG22208.23-2066|SPU_007265	138	21	162	27	19	1	68	21
HE_FRAG10171.19-1608|SPU_014529	52	0	43	0	14	0	5	3
HE_FRAG14502.0-3903|SPU_026013	82	32	109	3	0	0	32	9
HE_CONTIG2437|SPU_014728	238	38	240	8	8	0	72	14
HE_COMP232671_C5_SEQ1.14-290|SPU_025983	4	0	2	0	1	0	3	3
