GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_CONTIG4433|SPU_016842	31	0	31	0	1	0	16	0
HE_FRAG5580.0-5574|SPU_028726	798	50	816	8	22	5	92	51
HE_CONTIG605|SPU_026766	97	3	113	0	0	0	9	0
HE_CONTIG3145|SPU_024592	6	0	2	1	0	0	42	7
HE_COMP237427_C7_SEQ1.198-429|UNKNOWN	0	0	0	0	0	0	4	0
HE_FRAG8110.159-339|SPU_012492	0	0	0	0	0	0	2	0
HE_CONTIG407|UNKNOWN	0	0	0	2	0	0	0	269
HE_COMP241849_C0_SEQ2.74-116|UNKNOWN	0	0	0	0	0	0	2	0
HE_COMP197588_C0_SEQ1.3-162|SPU_011645	0	0	0	0	0	0	1	0
HE_FRAG22354.708-972|SPU_025759	0	0	5	4	0	0	4	13
HE_FRAG21789.450-2646|SPU_025763	0	0	0	0	0	0	58	0
HE_COMP241292_C1_SEQ1.0-298|SPU_015804	13	3	21	0	0	0	3	0
HE_FRAG18075.0-1791|SPU_020578	35	2	99	5	12	5	29	0
HE_FRAG820.117-255|SPU_019284	6	0	6	0	0	0	2	0
HE_CONTIG4434|SPU_024918	7	0	10	0	0	0	3	0
HE_CONTIG3669|SPU_015376	28	3	60	0	0	0	8	0
HE_COMP228979_C1_SEQ6.81-237|SPU_020272	0	0	0	0	0	0	1	0
HE_COMP234891_C5_SEQ1.200-342|SPU_017723	14	0	11	0	4	0	3	0
HE_FRAG6539.0-3570|SPU_021559	320	45	197	0	8	0	29	0
HE_COMP215986_C0_SEQ1.0-168|SPU_013237	0	0	0	0	0	0	1	0
HE_CONTIG1319|SPU_026337	158	34	198	16	8	0	36	2
HE_COMP228506_C0_SEQ1.76-119|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP209988_C0_SEQ1.78-540|SPU_025331	20	0	26	0	1	0	12	5
HE_CONTIG2941|SPU_023386	791	15	777	33	154	0	107	11
HE_FRAG9423.50-314|SPU_002802	2	7	11	0	0	0	9	0
HE_FRAG13811.659-2738|SPU_000324	0	0	0	0	0	0	22	0
HE_FRAG4783.0-2367|SPU_011065	373	48	267	1	0	0	35	38
HE_CONTIG3783|SPU_000635	0	0	0	0	0	0	23	0
HE_FRAG15198.0-2124|SPU_005988	100	15	171	22	4	0	34	8
HE_COMP245612_C2_SEQ1.1-719|SPU_001690	166	8	89	0	48	4	34	0
HE_CONTIG5209|SPU_017029	48	8	74	10	24	10	12	1
HE_COMP239356_C1_SEQ2.0-1154|SPU_009455	177	17	86	0	85	16	41	0
HE_FRAG5175.621-879|SPU_008355	0	0	0	0	0	0	1	0
HE_FRAG18746.0-834|SPU_003139	46	16	21	1	2	3	15	1
HE_CONTIG4393|SPU_024463	10	14	10	2	0	0	25	96
HE_FRAG5653.89-1571|SPU_007945	683	0	438	37	30	0	79	7
HE_CONTIG5007|UNKNOWN	0	0	0	0	0	0	4	0
HE_CONTIG4008|SPU_009335	423	24	307	41	83	8	52	12
HE_CONTIG1626|SPU_013326	478	176	873	60	0	0	64	15
HE_FRAG623.0-1536|SPU_009771	329	62	218	10	15	0	18	2
HE_CONTIG1650|UNKNOWN	213	431	17	71	0	1	205	1013
HE_FRAG22208.23-2066|SPU_007265	47	11	90	5	13	0	38	6
HE_FRAG10171.19-1608|SPU_014529	83	0	56	0	31	0	27	0
HE_FRAG14502.0-3903|SPU_026013	36	5	41	3	1	0	193	3
HE_CONTIG2437|SPU_014728	245	22	210	11	10	0	81	11
HE_COMP232671_C5_SEQ1.14-290|SPU_025983	2	0	4	0	0	0	28	15
HE_CONTIG905|UNKNOWN	0	0	0	0	0	0	6	0
HE_FRAG3861.0-2127|SPU_004819	980	235	696	75	48	3	188	157
HE_FRAG22214.1245-2550|SPU_027122	100	43	168	6	30	0	36	26
HE_COMP239451_C8_SEQ1.0-446|SPU_012345	1586	0	862	0	0	0	96	0
HE_COMP236681_C4_SEQ1.41-1511|SPU_025243	94	2	51	1	12	0	31	3
HE_CONTIG878|SPU_012099	0	0	0	0	0	0	4	0
HE_FRAG1417.0-1503|SPU_003632	236	5	312	11	1	0	34	0
HE_FRAG14480.0-3774|SPU_007008	642	38	1118	112	84	0	117	65
HE_FRAG9362.0-441|SPU_001402	20	0	28	8	3	0	8	0
HE_COMP247611_C2_SEQ1.0-3152|SPU_018068	60	8	149	18	10	0	22	0
HE_FRAG7601.83-800|SPU_023388	51	13	237	0	19	0	37	9
HE_COMP236703_C0_SEQ1.0-1662|SPU_003114	1422	45	1584	0	597	0	316	0
HE_FRAG5362.26-1298|SPU_001599	173	44	104	34	2	0	30	19
HE_FRAG7433.129-560|SPU_006043	89	13	24	0	4	0	1	1
HE_FRAG23288.0-6546|SPU_015529	2	0	0	0	5	0	211	0
