GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_FRAG6220.120-168|UNKNOWN	1	0	7	0	1	0	12	3
HE_COMP236773_C4_SEQ5.12-52|UNKNOWN	0	0	0	0	0	0	6	0
HE_COMP234537_C0_SEQ1.30-321|SPU_024592	0	0	0	0	0	0	18	0
HE_COMP245464_C0_SEQ1.465-4995|SPU_023044	1078	260	2173	183	48	0	245	89
HE_FRAG21698.1422-4683|SPU_018809	37	0	259	9	31	0	24	3
HE_COMP242449_C0_SEQ1.389-497|UNKNOWN	0	0	0	0	0	0	4	0
HE_FRAG7262.2-1728|SPU_019701	113	31	72	0	18	2	33	17
HE_COMP229236_C0_SEQ1.162-435|SPU_005055	0	0	0	0	0	0	0	0
HE_COMP246564_C1_SEQ3.0-1812|SPU_010488	142	7	140	15	5	0	16	2
HE_FRAG13924.160-2322|SPU_017583	343	30	352	9	28	8	81	11
HE_COMP232655_C8_SEQ7.42-87|UNKNOWN	0	0	0	0	0	0	1	0
HE_CONTIG4061|SPU_014140	2830	11	429	140	19	0	101	7
HE_COMP241780_C1_SEQ5.0-60|UNKNOWN	0	0	0	0	0	0	7	0
HE_FRAG16042.0-1950|SPU_019287	291	94	56	0	0	2	53	28
HE_CONTIG1907|SPU_004916	0	0	0	0	0	0	0	0
HE_COMP233789_C2_SEQ1.2-53|UNKNOWN	1	33	1	2	4	0	5	70
HE_FRAG574.1-1472|SPU_026418	332	8	256	9	26	0	54	3
HE_COMP246691_C1_SEQ1.138-972|SPU_020797	83	17	10	0	4	0	10	16
HE_COMP243385_C1_SEQ2.1410-1724|SPU_004423	0	0	0	0	0	0	5	0
HE_COMP237064_C10_SEQ3.72-114|UNKNOWN	0	0	0	0	0	0	5	0
HE_COMP240397_C4_SEQ3.0-531|SPU_028130	381	102	240	11	50	6	140	195
HE_COMP239343_C0_SEQ1.5-44|UNKNOWN	1	0	9	0	2	0	2	3
HE_CONTIG5253|SPU_009990	0	0	0	0	0	0	3	0
HE_CONTIG3081|SPU_018320	2	0	1	0	0	0	5	0
HE_CONTIG1891|SPU_007127	60	0	13	4	5	0	12	1
HE_CONTIG2000|SPU_012262	1940	1	1716	118	33	0	113	48
HE_FRAG5896.1137-1374|SPU_014287	9	0	0	0	0	0	1	0
HE_FRAG5473.24-837|SPU_014260	165	77	19	0	0	0	15	5
HE_COMP244785_C1_SEQ4.0-993|SPU_027174	16	1	61	0	4	3	16	0
HE_CONTIG4207|SPU_026708	69	9	82	0	0	0	7	11
HE_FRAG316.178-226|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG5793.72-1272|SPU_014460	391	34	88	0	0	0	134	44
HE_FRAG6624.2-1680|SPU_023952	98	8	107	4	0	0	15	2
HE_CONTIG1866|SPU_009879	33	0	0	0	0	0	1	0
HE_FRAG14673.62-599|SPU_006174	167	0	29	12	4	2	24	0
HE_CONTIG1118|SPU_023355	224	27	1125	45	19	1	147	95
HE_COMP242580_C3_SEQ1.0-288|SPU_026362	42	0	35	0	0	0	0	0
HE_COMP239160_C4_SEQ1.0-1776|SPU_009647	193	3	273	7	10	0	30	1
HE_CONTIG5012|SPU_012342	96	0	5	0	0	0	11	1
HE_COMP239002_C2_SEQ1.0-2823|SPU_008966	951	94	1983	29	31	0	278	32
HE_CONTIG2358|SPU_021991	99	0	49	5	6	0	15	0
HE_COMP240801_C1_SEQ1.60-1803|SPU_015902	558	479	61	10	0	0	285	153
HE_COMP236522_C3_SEQ10.118-160|UNKNOWN	0	1	3	13	9	5	11	19
HE_COMP231113_C0_SEQ1.39-1539|SPU_020012	143	33	139	9	0	0	27	15
HE_FRAG7276.240-3306|SPU_001785	2304	155	6817	228	3	0	323	108
HE_CONTIG2105|SPU_017120	0	0	0	0	0	0	25	0
HE_FRAG1204.10-58|UNKNOWN	0	0	0	0	0	0	2	0
HE_CONTIG2705|UNKNOWN	17	0	0	3	1	1	0	1
HE_COMP232533_C0_SEQ1.309-780|SPU_028302	43	0	29	0	1	0	4	2
HE_CONTIG3100|SPU_017709	25	4	200	59	7	6	83	121
HE_CONTIG2670|SPU_007267	193	0	2	0	0	0	2	16
HE_CONTIG4248|SPU_015084	82	0	162	42	0	0	3	0
HE_FRAG16037.2094-3536|SPU_019287	219	143	59	6	4	0	17	10
HE_FRAG13798.0-984|SPU_011658	288	7	272	4	35	0	20	2
HE_FRAG1868.78-2525|SPU_007386	531	196	404	37	19	5	87	50
HE_FRAG7023.19-1233|SPU_018702	1891	281	108	14	1	0	132	210
HE_FRAG21999.0-7617|SPU_028833	190	40	442	33	8	1	123	52
HE_CONTIG2680|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG23230.0-1472|SPU_014424	0	0	0	0	0	0	32	0
HE_CONTIG1781|SPU_017029	86	39	36	0	5	0	28	1
HE_COMP232859_C6_SEQ1.0-1329|SPU_008239	877	107	244	11	0	0	134	30
HE_FRAG16370.3-711|SPU_018090	44	26	34	15	0	0	29	56
HE_COMP233676_C3_SEQ2.98-1568|SPU_018372	17	0	131	11	0	0	13	0
HE_FRAG259.1415-1700|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG4895.216-1263|SPU_024723	0	0	0	0	0	0	48	0
HE_COMP229741_C0_SEQ2.0-2211|SPU_022450	131	4	40	1	2	0	12	0
HE_FRAG9574.261-2436|SPU_016327	177	8	526	12	12	1	34	12
HE_FRAG10995.1818-1941|SPU_017911	0	0	0	0	0	0	0	0
HE_COMP230358_C1_SEQ3.63-249|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG17700.2-4004|SPU_018720	20	5	23	0	1	0	126	0
HE_COMP243031_C6_SEQ3.44-107|UNKNOWN	0	0	0	0	0	0	0	0
HE_CONTIG3045|UNKNOWN	3	2	19	3	0	0	7	27
HE_CONTIG4514|SPU_016903	190	5	35	0	0	0	15	58
HE_FRAG11691.0-1227|UNKNOWN	13	0	48	0	4	0	12	0
HE_CONTIG2050|SPU_015574	0	0	0	0	0	0	5	0
HE_COMP237738_C0_SEQ1.0-1146|SPU_006308	349	32	374	35	6	0	42	20
HE_CONTIG4433|SPU_016842	64	0	3	0	0	0	2	2
HE_FRAG5580.0-5574|SPU_028726	319	29	197	7	11	0	84	9
HE_CONTIG605|SPU_026766	63	2	14	0	0	0	8	0
HE_CONTIG3145|SPU_024592	8	0	19	5	0	0	38	8
HE_COMP237427_C7_SEQ1.198-429|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG8110.159-339|SPU_012492	0	0	0	0	0	0	0	0
HE_CONTIG407|UNKNOWN	0	1	0	2	0	0	2	339
HE_COMP241849_C0_SEQ2.74-116|UNKNOWN	0	0	0	0	0	0	2	0
HE_COMP197588_C0_SEQ1.3-162|SPU_011645	0	0	0	0	0	0	1	0
HE_FRAG22354.708-972|SPU_025759	0	0	0	0	0	0	1	0
HE_FRAG21789.450-2646|SPU_025763	53	4	1	0	2	0	267	0
HE_COMP241292_C1_SEQ1.0-298|SPU_015804	102	0	32	0	0	0	21	0
HE_FRAG18075.0-1791|SPU_020578	35	14	69	15	20	0	29	0
HE_FRAG820.117-255|SPU_019284	2	5	0	0	0	0	2	0
HE_CONTIG4434|SPU_024918	0	0	0	0	0	0	1	0
HE_CONTIG3669|SPU_015376	67	24	108	0	0	0	41	0
HE_COMP228979_C1_SEQ6.81-237|SPU_020272	0	0	0	0	0	0	0	0
HE_COMP234891_C5_SEQ1.200-342|SPU_017723	25	0	19	0	3	0	0	0
HE_FRAG6539.0-3570|SPU_021559	1067	55	499	6	42	0	19	0
HE_COMP215986_C0_SEQ1.0-168|SPU_013237	0	0	0	0	0	0	0	0
HE_CONTIG1319|SPU_026337	242	56	476	9	19	0	50	15
HE_COMP228506_C0_SEQ1.76-119|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP209988_C0_SEQ1.78-540|SPU_025331	0	0	0	0	0	0	18	0
HE_CONTIG2941|SPU_023386	264	16	412	0	49	0	85	1
HE_FRAG9423.50-314|SPU_002802	0	1	5	0	3	0	1	0
HE_FRAG13811.659-2738|SPU_000324	9	2	21	2	8	0	72	3
HE_FRAG4783.0-2367|SPU_011065	1154	382	176	0	0	0	214	88
HE_CONTIG3783|SPU_000635	3	0	2	0	0	0	26	1
HE_FRAG15198.0-2124|SPU_005988	17	0	24	0	2	0	99	0
HE_COMP245612_C2_SEQ1.1-719|SPU_001690	366	0	77	1	94	0	33	4
HE_CONTIG5209|SPU_017029	87	22	26	2	28	0	11	14
HE_COMP239356_C1_SEQ2.0-1154|SPU_009455	235	51	95	0	149	3	90	3
