GENE	he%sample1	he%sample2	he%sample3	ht%sample1	ht%sample2	ht%sample3	hy%sample1	hy%sample2	hy%sample3
HE_CONTIG2680|UNKNOWN	117	11	28	12	27	12	2	3	2
HE_FRAG23230.0-1472|SPU_014424	182	277	472	220	362	189	13	51	49
HE_CONTIG1781|SPU_017029	733	1140	1383	1466	1586	1468	164	224	235
HE_COMP232859_C6_SEQ1.0-1329|SPU_008239	1547	889	1075	1134	1148	935	58	185	105
HE_FRAG16370.3-711|SPU_018090	1194	864	1219	1165	1749	825	103	256	245
HE_COMP233676_C3_SEQ2.98-1568|SPU_018372	465	161	233	9861	4027	7023	1027	900	457
HE_FRAG259.1415-1700|UNKNOWN	63	72	57	22	48	76	16	23	90
HE_FRAG4895.216-1263|SPU_024723	259	593	759	93	318	303	36	174	244
HE_COMP229741_C0_SEQ2.0-2211|SPU_022450	494	403	898	1261	1147	1740	150	244	278
HE_FRAG9574.261-2436|SPU_016327	1498	2210	2413	3146	4811	2819	96	662	553
HE_FRAG10995.1818-1941|SPU_017911	31	51	1	0	0	1	0	0	3
HE_COMP230358_C1_SEQ3.63-249|UNKNOWN	6	11	12	10	44	33	2	7	14
HE_FRAG17700.2-4004|SPU_018720	636	1605	1721	2419	4626	1477	62	881	367
HE_COMP243031_C6_SEQ3.44-107|UNKNOWN	3	3	0	1	1	0	0	0	0
HE_CONTIG3045|UNKNOWN	126	112	155	517	644	223	21	105	78
HE_CONTIG4514|SPU_016903	369	951	1311	1703	2270	794	55	209	138
HE_FRAG11691.0-1227|UNKNOWN	145	181	311	583	815	707	28	80	78
HE_CONTIG2050|SPU_015574	216	251	563	22	24	11	12	45	44
HE_COMP237738_C0_SEQ1.0-1146|SPU_006308	1854	2844	3390	2752	3823	4194	240	863	1345
HE_CONTIG4433|SPU_016842	130	307	421	469	1051	323	8	85	79
HE_FRAG5580.0-5574|SPU_028726	2131	4927	5053	4491	6020	2884	226	1510	1842
HE_CONTIG605|SPU_026766	652	1029	1409	498	723	700	88	159	222
HE_CONTIG3145|SPU_024592	1173	1031	1048	147	155	115	98	79	58
HE_COMP237427_C7_SEQ1.198-429|UNKNOWN	5	15	16	13	32	4	0	7	4
HE_FRAG8110.159-339|SPU_012492	10	16	18	20	23	21	3	1	2
HE_CONTIG407|UNKNOWN	686	834	1032	1573	2258	1264	150	248	271
HE_COMP241849_C0_SEQ2.74-116|UNKNOWN	8	12	5	12	9	9	0	0	2
HE_COMP197588_C0_SEQ1.3-162|SPU_011645	4	1	1	2	5	1	38	1	1
HE_FRAG22354.708-972|SPU_025759	55	53	140	53	72	37	3	45	26
HE_FRAG21789.450-2646|SPU_025763	388	768	723	70	89	104	3	13	58
HE_COMP241292_C1_SEQ1.0-298|SPU_015804	299	362	542	363	732	308	32	69	40
HE_FRAG18075.0-1791|SPU_020578	177	446	601	781	1193	1048	29	199	187
HE_FRAG820.117-255|SPU_019284	48	22	30	41	20	15	19	11	14
HE_CONTIG4434|SPU_024918	287	184	103	81	99	81	26	16	20
HE_CONTIG3669|SPU_015376	454	318	497	1058	1061	1115	128	124	99
HE_COMP228979_C1_SEQ6.81-237|SPU_020272	1	4	8	4	6	7	0	1	1
HE_COMP234891_C5_SEQ1.200-342|SPU_017723	393	241	372	395	448	394	42	60	32
HE_FRAG6539.0-3570|SPU_021559	2392	3054	3951	3652	6142	2695	62	447	599
HE_COMP215986_C0_SEQ1.0-168|SPU_013237	0	3	0	1	6	0	1	0	1
HE_CONTIG1319|SPU_026337	1990	1594	2118	3413	3007	3401	453	433	452
HE_COMP228506_C0_SEQ1.76-119|UNKNOWN	1	4	0	0	3	1	1	1	0
HE_COMP209988_C0_SEQ1.78-540|SPU_025331	112	155	259	270	550	324	13	74	64
HE_CONTIG2941|SPU_023386	6672	5513	7554	19499	13921	22944	1575	1734	1888
